attack,epsilon,accuracy,model
fgsm,0.01,84.33,baseline
fgsm,0.02,81.99,baseline
fgsm,0.03,81.06,baseline
fgsm,0.04,80.15,baseline
fgsm,0.05,79.5,baseline
fgsm,0.06,78.72,baseline
fgsm,0.07,77.88,baseline
fgsm,0.08,77.02,baseline
fgsm,0.09,75.98,baseline
fgsm,0.1,75.14,baseline
fgsm,0.11,74.23,baseline
fgsm,0.12,73.09,baseline
pgd,0.01,81.14,baseline
pgd,0.02,76.11,baseline
pgd,0.03,74.38,baseline
pgd,0.04,73.47,baseline
pgd,0.05,72.34,baseline
pgd,0.06,72.27,baseline
pgd,0.07,71.52,baseline
pgd,0.08,71.21,baseline
pgd,0.09,70.56,baseline
pgd,0.1,69.44,baseline
pgd,0.11,69.7,baseline
pgd,0.12,69.56,baseline
