attack,epsilon,accuracy,model
fgsm,0.01,74.61,refined
fgsm,0.02,67.37,refined
fgsm,0.03,64.11,refined
fgsm,0.04,62.22,refined
fgsm,0.05,60.79,refined
fgsm,0.06,59.89,refined
fgsm,0.07,59.07,refined
fgsm,0.08,58.35,refined
fgsm,0.09,57.7,refined
fgsm,0.1,57.01,refined
fgsm,0.11,56.35,refined
fgsm,0.12,55.81,refined
pgd,0.01,68.41,refined
pgd,0.02,52.83,refined
pgd,0.03,43.47,refined
pgd,0.04,37.73,refined
pgd,0.05,34.01,refined
pgd,0.06,31.24,refined
pgd,0.07,29.3,refined
pgd,0.08,28.06,refined
pgd,0.09,26.68,refined
pgd,0.1,25.5,refined
pgd,0.11,25.32,refined
pgd,0.12,23.93,refined
