attack,epsilon,accuracy,model
fgsm,0.01,63.2,baseline
fgsm,0.02,58.01,baseline
fgsm,0.03,53.17,baseline
fgsm,0.04,48.55,baseline
fgsm,0.05,43.79,baseline
fgsm,0.06,39.22,baseline
fgsm,0.07,35.07,baseline
fgsm,0.08,31.55,baseline
fgsm,0.09,28.23,baseline
fgsm,0.1,25.2,baseline
fgsm,0.11,22.5,baseline
fgsm,0.12,19.79,baseline
pgd,0.01,63.03,baseline
pgd,0.02,57.53,baseline
pgd,0.03,51.95,baseline
pgd,0.04,46.64,baseline
pgd,0.05,41.27,baseline
pgd,0.06,37.39,baseline
pgd,0.07,34.53,baseline
pgd,0.08,32.62,baseline
pgd,0.09,31.16,baseline
pgd,0.1,30.09,baseline
pgd,0.11,29.02,baseline
pgd,0.12,28.42,baseline
