attack,epsilon,accuracy,model
fgsm,0.01,63.2,refined
fgsm,0.02,58.01,refined
fgsm,0.03,53.17,refined
fgsm,0.04,48.55,refined
fgsm,0.05,43.79,refined
fgsm,0.06,39.22,refined
fgsm,0.07,35.07,refined
fgsm,0.08,31.55,refined
fgsm,0.09,28.23,refined
fgsm,0.1,25.2,refined
fgsm,0.11,22.5,refined
fgsm,0.12,19.79,refined
pgd,0.01,63.05,refined
pgd,0.02,57.56,refined
pgd,0.03,51.95,refined
pgd,0.04,46.63,refined
pgd,0.05,41.27,refined
pgd,0.06,37.42,refined
pgd,0.07,34.51,refined
pgd,0.08,32.75,refined
pgd,0.09,31.19,refined
pgd,0.1,29.98,refined
pgd,0.11,29.17,refined
pgd,0.12,28.31,refined
